来源范围,原始名称,克隆地址,是否已分析,分析handle
0707,@fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs.git,已分析,fingerprintjs
0707,chromedp,https://github.com/chromedp/chromedp.git,已分析,chromedp
0707,clipboard,https://github.com/atotto/clipboard.git,已分析,clipboard
0707,colly,https://github.com/gocolly/colly.git,已分析,colly
0707,ElaWidgetTools,https://github.com/Liniyous/ElaWidgetTools.git,已分析,ElaWidgetTools
0707,embla-carousel-react,https://github.com/davidjerleke/embla-carousel.git （子路径: packages/embla-carousel-react）,已分析,embla-carousel-react
0707,fx,https://github.com/uber-go/fx.git,已分析,fx
0707,GLES2,https://github.com/yiptool/gles2.git,已分析,gles2
0707,go-github,https://github.com/google/go-github.git,已分析,go-github
0707,go-scp,https://github.com/bramvdbogaerde/go-scp.git,已分析,go-scp
0707,go-smb2,https://github.com/hirochachacha/go-smb2.git,已分析,go-smb2
0707,go-sqlite3,https://github.com/mattn/go-sqlite3.git,已分析,go-sqlite3
0707,goob,https://github.com/ysmood/goob.git,已分析,goob
0707,gopacket,https://github.com/google/gopacket.git,已分析,gopacket
0707,grpc,https://github.com/grpc/grpc-go.git,已分析,grpc-go
0707,ivf,https://github.com/facebookresearch/faiss.git,已分析,faiss
0707,ixweb,https://github.com/machinezone/IXWebSocket.git,已分析,IXWebSocket
0707,Jupyterlab,https://github.com/jupyterlab/jupyterlab.git,已分析,jupyterlab
0707,keyboard,https://github.com/eiannone/keyboard.git,已分析,keyboard
0707,mpb,https://github.com/vbauerster/mpb.git,已分析,mpb
0707,mysql-connector-java,https://github.com/mysql/mysql-connector-j.git,已分析,mysql-connector-j
0707,nmap,https://github.com/Ullaakut/nmap.git,已分析,nmap
0707,oauth2,https://github.com/golang/oauth2.git,已分析,oauth2
0707,Octave,https://github.com/gnu-octave/octave.git,已分析,octave
0707,opengauss-jdbc,https://gitee.com/opengauss/openGauss-connector-jdbc.git,已分析,openGauss-connector-jdbc
0707,protobuf,https://github.com/protocolbuffers/protobuf-go.git,已分析,protobuf-go
0707,quarter,https://github.com/coin3d/quarter.git,已分析,quarter
0707,QZxing,https://github.com/ftylitak/qzxing.git,已分析,qzxing
0707,rod,https://github.com/go-rod/rod.git,已分析,rod
0707,SARibbon,https://github.com/czyt1988/SARibbon.git,已分析,SARibbon
0707,sqlite-jdbc,https://github.com/xerial/sqlite-jdbc.git,已分析,sqlite-jdbc
0707,stealth,https://github.com/go-rod/stealth.git,已分析,stealth
0707,termbox-go,https://github.com/nsf/termbox-go.git,已分析,termbox-go
0707,uSockets,https://github.com/uNetworking/uSockets.git,已分析,uSockets
0707,uWebSockets,https://github.com/uNetworking/uWebSockets.git,已分析,uWebSockets
0707,gosmm2,未找到公开仓库-待确认,未分析,
0712,amqp,https://github.com/celery/py-amqp.git,已分析,py-amqp
0712,asynctest,https://github.com/Martiusweb/asynctest.git,已分析,asynctest
0712,billiard,https://github.com/celery/billiard.git,已分析,billiard
0712,click-repl,https://github.com/untitaker/click-repl.git,已分析,click-repl
0712,comtypes,https://github.com/enthought/comtypes.git,已分析,comtypes
0712,conda,https://github.com/conda/conda.git,已分析,conda
0712,distro,https://github.com/python-distro/distro.git,已分析,distro
0712,drf-spectacular,https://github.com/tfranzel/drf-spectacular.git,已分析,drf-spectacular
0712,fido2,https://github.com/Yubico/python-fido2.git,已分析,python-fido2
0712,google-cloud-storage,https://github.com/googleapis/google-cloud-python.git,已分析,google-cloud-storage
0712,google-crc32c,https://github.com/googleapis/python-crc32c.git,已分析,python-crc32c
0712,hiredis,https://github.com/redis/hiredis-py.git,已分析,hiredis-py
0712,jax,https://github.com/jax-ml/jax.git,已分析,jax
0712,jaxlib,https://github.com/jax-ml/jax.git,已分析,jax
0712,julia-numpy,https://github.com/Suzhou-Tongyuan/jnumpy.git,已分析,jnumpy
0712,kombu,https://github.com/celery/kombu.git,已分析,kombu
0712,milksnake,https://github.com/getsentry/milksnake.git,已分析,milksnake
0712,opentelemetry-sdk,https://github.com/open-telemetry/opentelemetry-python.git,已分析,opentelemetry-sdk
0712,phabricator,https://github.com/disqus/python-phabricator.git,已分析,python-phabricator
0712,progressbar2,https://github.com/wolph/python-progressbar.git,已分析,python-progressbar
0712,pynput,https://github.com/moses-palmer/pynput.git,已分析,pynput
0712,pyobjc-core,https://github.com/ronaldoussoren/pyobjc.git,已分析,pyobjc-core
0712,pyobjc-framework-applicationservices,https://github.com/ronaldoussoren/pyobjc.git,已分析,pyobjc-core
0712,pyobjc-framework-cocoa,https://github.com/ronaldoussoren/pyobjc.git,已分析,pyobjc-core
0712,pyobjc-framework-coretext,https://github.com/ronaldoussoren/pyobjc.git,已分析,pyobjc-core
0712,pyobjc-framework-quartz,https://github.com/ronaldoussoren/pyobjc.git,已分析,pyobjc-core
0712,python-rapidjson,https://github.com/python-rapidjson/python-rapidjson.git,已分析,python-rapidjson
0712,pyuwsgi,https://github.com/unbit/uwsgi.git,已分析,uwsgi
0712,pywinauto,https://github.com/pywinauto/pywinauto.git,已分析,pywinauto
0712,redis-py-cluster,https://github.com/grokzen/redis-py-cluster.git,已分析,redis-py-cluster
0712,ruamel-yaml-conda,https://sourceforge.net/p/ruamel-yaml/code/ （上游 ruamel.yaml，conda 重打包）,已分析,code
0712,sentry-relay,https://github.com/getsentry/relay.git,已分析,py
0712,sentry-sdk,https://github.com/getsentry/sentry-python.git,已分析,sentry-python
0712,tf2onnx,https://github.com/onnx/tensorflow-onnx.git,已分析,tensorflow-onnx
0712,vcs-versioning,https://github.com/pypa/setuptools-scm.git,已分析,setuptools-scm
0712,vine,https://github.com/celery/vine.git,已分析,vine
0712,win-inet-pton,https://github.com/hickeroar/win_inet_pton.git,已分析,win_inet_pton
0712,win32-setctime,https://github.com/Delgan/win32-setctime.git,已分析,win32-setctime
0712,xmlsec,https://github.com/mehcode/python-xmlsec.git,已分析,python-xmlsec
0712,mindspore-hub,https://gitee.com/mindspore/hub.git,未分析,
0712,nvidia-ml-py,无公开仓库（PyPI 源码分发，主页 forums.developer.nvidia.com）,未分析(无仓),
0712,pqt-gcc,无公开仓库（PyPI 无此包，疑似内部/私有包）,未分析(无仓),
0712,symbolic,https://github.com/getsentry/symbolic.git,未分析,
0712,tjc-common,无公开仓库（PyPI 无此包，疑似内部/私有包）,未分析(无仓),
C,7-Zip,https://github.com/ip7z/7zip.git,已分析,7zip
C,a52dec,https://code.videolan.org/videolan/liba52.git,已分析,liba52
C,ACE,https://github.com/DOCGroup/ACE_TAO.git,已分析,ACE_TAO
C,ActiveMQ-CPP,https://github.com/apache/activemq-cpp.git,已分析,activemq-cpp
C,Adaptive Entropy Coding library,https://gitlab.dkrz.de/k202009/libaec.git,已分析,libaec
C,Alibaba Cloud OSS C++ SDK,https://github.com/aliyun/aliyun-oss-cpp-sdk.git,已分析,aliyun-oss-cpp-sdk
C,Alibaba MNN,https://github.com/alibaba/MNN.git,已分析,MNN
C,ANGLE,https://github.com/google/angle.git,已分析,angle
C,AOM,https://aomedia.googlesource.com/aom,已分析,aom
C,Apache Log4cxx,https://github.com/apache/logging-log4cxx.git,已分析,logging-log4cxx
C,Apache Portable Runtime (APR),https://github.com/apache/apr.git,已分析,apr
C,Apache Portable Runtime (APR) iconv,https://github.com/apache/apr-iconv.git,已分析,apr-iconv
C,Apache Portable Runtime Util,https://github.com/apache/apr-util.git,已分析,apr-util
C,Apache Portable Runtime Utils (APR-util),https://github.com/apache/apr-util.git,已分析,apr-util
C,aribcaption,https://github.com/xqq/libaribcaption.git,已分析,libaribcaption
C,avrdude,https://github.com/avrdudes/avrdude.git,已分析,avrdude
C,Basis Universal,https://github.com/BinomialLLC/basis_universal.git,已分析,basis_universal
C,bcg729,https://github.com/BelledonneCommunications/bcg729.git,已分析,bcg729
C,Blitz++,https://github.com/blitzpp/blitz.git,已分析,blitz
C,Blosc,https://github.com/Blosc/c-blosc.git,已分析,c-blosc
C,Botan,https://github.com/randombit/botan.git,已分析,botan
C,Breakpad,https://chromium.googlesource.com/breakpad/breakpad.git,已分析,breakpad
C,casablanca,https://github.com/Microsoft/cpprestsdk.git,已分析,cpprestsdk
C,Codec2,https://github.com/drowe67/codec2.git,已分析,codec2
C,Cppcheck,https://github.com/danmar/cppcheck.git,已分析,cppcheck
C,Crashpad,https://chromium.googlesource.com/crashpad/crashpad.git,已分析,crashpad
C,Cronet,https://chromium.googlesource.com/chromium/src.git（cronet为其components/cronet子目录）,已分析,cronet
C,CxImage,https://github.com/minnyres/cximage.git,已分析,cximage
C,dav1d,https://github.com/videolan/dav1d.git,已分析,dav1d
C,de265,https://github.com/strukturag/libde265.git,已分析,libde265
C,DevIL,https://github.com/DentonW/DevIL.git,已分析,DevIL
C,dnssd,https://github.com/apple-oss-distributions/mDNSResponder.git,已分析,mDNSResponder
C,E57,https://github.com/asmaloney/libE57Format.git,已分析,libE57Format
C,Eclipse Paho,https://github.com/eclipse/paho.mqtt.c.git,已分析,paho.mqtt.c
C,elfutils,https://sourceware.org/git/elfutils.git,已分析,elfutils
C,eventpp,https://github.com/wqking/eventpp.git,已分析,eventpp
C,FAAC,https://github.com/knik0/faac.git,已分析,faac
C,fastText,https://github.com/facebookresearch/fastText.git,已分析,fastText
C,FBGEMM,https://github.com/pytorch/FBGEMM.git,已分析,FBGEMM
C,FDK AAC,https://github.com/mstorsjo/fdk-aac.git,已分析,fdk-aac
C,FreeImage,https://github.com/imazen/freeimage.git,已分析,freeimage
C,G'MIC,https://github.com/GreycLab/gmic.git,已分析,gmic
C,Ghostscript,https://github.com/ArtifexSoftware/ghostpdl.git,已分析,ghostpdl
C,GLEW,https://github.com/nigels-com/glew.git,已分析,glew
C,glTF,https://github.com/KhronosGroup/glTF.git,已分析,glTF
C,GNU Binutils,https://sourceware.org/git/binutils-gdb.git,已分析,binutils-gdb
C,GNU libunistring,https://git.savannah.gnu.org/git/libunistring.git,已分析,libunistring
C,GNU MPC,https://gitlab.inria.fr/mpc/mpc.git,已分析,mpc
C,GNU Readline,https://git.savannah.gnu.org/git/readline.git,已分析,readline
C,GNU Source Highlight,https://git.savannah.gnu.org/git/src-highlite.git,已分析,src-highlite
C,Google CTemplate,https://github.com/OlafvdSpek/ctemplate.git,已分析,ctemplate
C,Graphite2,https://github.com/silnrsi/graphite.git,已分析,graphite
C,Graphviz,https://gitlab.com/graphviz/graphviz.git,已分析,graphviz
C,GStreamer,https://gitlab.freedesktop.org/gstreamer/gstreamer.git,已分析,gstreamer
C,HiGHS,https://github.com/ERGO-Code/HiGHS.git,已分析,HiGHS
C,hwloc,https://github.com/open-mpi/hwloc.git,已分析,hwloc
C,id3lib,https://github.com/irwir/id3lib.git,已分析,id3lib
C,IfcOpenShell,https://github.com/IfcOpenShell/IfcOpenShell.git,已分析,IfcOpenShell
C,Imath,https://github.com/AcademySoftwareFoundation/Imath.git,已分析,Imath
C,iniparser,https://github.com/ndevilla/iniparser.git,已分析,iniparser
C,isl,https://repo.or.cz/isl.git,已分析,isl
C,jemalloc,https://github.com/jemalloc/jemalloc.git,已分析,jemalloc
C,KSyntaxHighlighting,https://github.com/KDE/syntax-highlighting.git,已分析,syntax-highlighting
C,KTX,https://github.com/KhronosGroup/KTX-Software.git,已分析,KTX-Software
C,LERC,https://github.com/Esri/lerc.git,已分析,lerc
C,libasync++,https://github.com/Amanieu/asyncplusplus.git,已分析,asyncplusplus
C,libbluray,https://code.videolan.org/videolan/libbluray.git,已分析,libbluray
C,libbsd,https://gitlab.freedesktop.org/libbsd/libbsd.git,已分析,libbsd
C,libcbor,https://github.com/PJK/libcbor.git,已分析,libcbor
C,libconfig,https://github.com/hyperrealm/libconfig.git,已分析,libconfig
C,libdwarf,https://github.com/davea42/libdwarf-code.git,已分析,libdwarf-code
C,libepub,https://github.com/radiosity/libepub.git,已分析,libepub
C,libetpan,https://github.com/dinhvh/libetpan.git,已分析,libetpan
C,libfido2,https://github.com/Yubico/libfido2.git,已分析,libfido2
C,libgeotiff-1.7.4,https://github.com/OSGeo/libgeotiff.git,已分析,libgeotiff
C,libgsm,https://github.com/timothytylee/libgsm.git,已分析,libgsm
C,libidn2,https://gitlab.com/libidn/libidn2.git,已分析,libidn2
C,libimagequant,https://github.com/ImageOptim/libimagequant.git,已分析,libimagequant
C,libmongoc,https://github.com/mongodb/mongo-c-driver.git,已分析,mongo-c-driver
C,libmpeg2,https://code.videolan.org/videolan/libmpeg2.git,已分析,libmpeg2
C,libmtp,https://github.com/libmtp/libmtp.git,已分析,libmtp
C,libnlopt,https://github.com/stevengj/nlopt.git,已分析,nlopt
C,libplist,https://github.com/libimobiledevice/libplist.git,已分析,libplist
C,libpsl,https://github.com/rockdaboot/libpsl.git,已分析,libpsl
C,LibRaw,https://github.com/LibRaw/LibRaw.git,已分析,LibRaw
C,libserialport,https://github.com/sigrokproject/libserialport.git,已分析,libserialport
C,libsixel,https://github.com/saitoha/libsixel.git,已分析,libsixel
C,libsodium,https://github.com/jedisct1/libsodium.git,已分析,libsodium
C,libsoup,https://gitlab.gnome.org/GNOME/libsoup.git,已分析,libsoup
C,libtheora,https://github.com/xiph/theora.git,已分析,theora
C,libunwind,https://github.com/libunwind/libunwind.git,已分析,libunwind
C,libusb,https://github.com/libusb/libusb.git,已分析,libusb
C,libva,https://github.com/intel/libva.git,已分析,libva
C,libxcrypt,https://github.com/besser82/libxcrypt.git,已分析,libxcrypt
C,libxmp,https://github.com/libxmp/libxmp.git,已分析,libxmp
C,litehtml,https://github.com/litehtml/litehtml.git,已分析,litehtml
C,LiteSpeed QUIC,https://github.com/litespeedtech/lsquic.git,已分析,lsquic
C,Luabind,https://github.com/luabind/luabind.git,已分析,luabind
C,lwrb,https://github.com/MaJerle/lwrb.git,已分析,lwrb
C,LZ4,https://github.com/lz4/lz4.git,已分析,lz4
C,LZMA SDK,https://github.com/jljusten/LZMA-SDK.git,已分析,LZMA-SDK
