language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08  T=0.08 s (3920.3 files/s 491249.2 lines/s)"
C,repos/ruangong-0707/qzxing/src/zxing/win32/zxing/win_iconv.c,203,145,1687
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/PDF417BitMatrixParser.cpp,24,97,876
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/RSSExpandedReader.cpp,100,33,617
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/QRFinderPatternFinder.cpp,79,89,592
C++,repos/ruangong-0707/qzxing/src/QZXing.cpp,130,25,573
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/detector/LinesSampler.cpp,82,101,572
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/QRVersion.cpp,37,34,505
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/Code128Reader.cpp,47,45,459
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/decoder/AztecDecoder.cpp,83,37,438
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/QREncoder.cpp,64,110,430
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/detector/PDF417Detector.cpp,61,192,411
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/detector/AztecDetector.cpp,116,33,398
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/RSS14Reader.cpp,51,27,394
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/GeneralAppIdDecoder.cpp,65,6,386
C++,repos/ruangong-0707/qzxing/src/zxing/bigint/BigUnsigned.cc,38,274,385
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/PDF417DecodedBitStreamParser.cpp,38,151,380
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/QRDecodedBitStreamParser.cpp,28,63,343
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/DataMatrixDecodedBitStreamParser.cpp,31,47,340
C++,repos/ruangong-0707/qzxing/src/QZXingFilter.cpp,61,27,324
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/detector/DataMatrixDetector.cpp,63,63,321
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/MatrixUtil.cpp,42,55,321
CMake,repos/ruangong-0707/qzxing/src/zxing/zxing/CMakeLists.txt,38,0,310
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/DataMatrixBitMatrixParser.cpp,28,24,309
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANReader.cpp,39,53,301
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/ec/ModulusPoly.cpp,26,45,261
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/DecodeHints.cpp,26,20,253
C++,repos/ruangong-0707/qzxing/src/zxing/bigint/BigInteger.cc,35,125,245
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/Code39Reader.cpp,28,55,243
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/BigUnsigned.hh,43,141,234
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/CodaBarReader.cpp,39,66,232
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/Code93Reader.cpp,27,32,231
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/FieldParser.cpp,38,8,230
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/QRDetector.cpp,41,46,228
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/OneDReader.cpp,19,43,226
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitArray.cpp,40,38,220
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/ITFReader.cpp,42,112,212
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/detector/WhiteRectangleDetector.cpp,41,79,201
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/QRAlignmentPatternFinder.cpp,18,33,193
C++,repos/ruangong-0707/qzxing/src/CameraImageWrapper.cpp,32,7,185
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitMatrix.cpp,30,17,180
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/HybridBinarizer.cpp,20,30,176
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/MaskUtil.cpp,11,27,172
C/C++ Header,repos/ruangong-0707/qzxing/src/QZXing.h,39,83,167
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/GenericGFPoly.cpp,30,25,163
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/qrcode/detector/MultiFinderPatternFinder.cpp,23,59,154
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/win32/zxing/msvc/stdint.h,40,55,152
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/ec/ErrorCorrection.cpp,26,36,152
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/DataMatrixVersion.cpp,23,26,150
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/StringUtils.cpp,17,45,145
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GlobalHistogramBinarizer.cpp,27,45,141
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/QRBitMatrixParser.cpp,31,38,141
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/BigInteger.hh,26,50,139
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/detector/MonochromeRectangleDetector.cpp,12,27,136
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/EANManufacturerOrgSupport.cpp,8,24,136
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/PDF417Reader.cpp,18,41,133
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/ReedSolomonDecoder.cpp,19,24,131
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANExtension5Support.cpp,18,22,125
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/ZXing.h,29,16,123
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/MultiFormatReader.cpp,24,24,118
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/GenericGF.cpp,27,21,109
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/GenericMultipleBarcodeReader.cpp,12,21,104
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/AbstractRSSReader.cpp,16,1,100
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/QRMode.cpp,13,22,99
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/NumberlikeArray.hh,24,55,98
C++,repos/ruangong-0707/qzxing/src/zxing/bigint/BigUnsignedInABase.cc,15,15,95
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEReader.cpp,21,32,93
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/detector/LinesSampler.h,14,15,93
CMake,repos/ruangong-0707/qzxing/src/CMakeLists.txt,32,2,92
C++,repos/ruangong-0707/qzxing/src/ImageHandler.cpp,15,0,91
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/CharacterSetECI.cpp,21,16,91
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/QRDataMask.cpp,20,50,89
C++,repos/ruangong-0707/qzxing/src/QZXingFilterVideoSink.cpp,20,6,88
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/MultiFormatOneDReader.cpp,9,18,86
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/QRCode.cpp,22,0,85
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GridSampler.cpp,16,22,84
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/QRFormatInformation.cpp,13,25,80
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultMetadata.cpp,15,17,79
C/C++ Header,repos/ruangong-0707/qzxing/src/QZXingFilter.h,22,31,78
C++,repos/ruangong-0707/qzxing/src/QZXingImageProvider.cpp,14,3,78
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/PerspectiveTransform.cpp,12,21,78
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/MultiFormatUPCEANReader.cpp,13,39,76
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/detector/Detector.h,13,18,75
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/ec/ModulusGF.cpp,19,29,73
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/QRDecoder.cpp,18,27,73
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/ByteMatrix.cpp,12,0,71
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/DataMatrixDataBlock.cpp,14,29,70
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/RSSUtils.cpp,4,0,70
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/QRDataBlock.cpp,18,29,68
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/EAN13Reader.cpp,13,17,65
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/LuminanceSource.cpp,13,27,64
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitArray.h,22,16,64
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANExtension2Support.cpp,14,18,64
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultPoint.cpp,18,30,63
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/Encoder.h,30,45,63
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI013x0x1xDecoder.cpp,14,0,61
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/DecodeHints.h,17,22,58
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/Version.h,10,19,58
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/PDF417Decoder.cpp,15,45,58
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/Version.h,10,18,58
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/detector/Detector.h,15,20,57
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AbstractExpandedDecoder.cpp,13,0,57
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/ReedSolomonEncoder.cpp,11,3,56
C++,repos/ruangong-0707/qzxing/src/zxing/bigint/BigIntegerAlgorithms.cc,5,10,55
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/DataMatrixDecoder.cpp,14,32,55
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/detector/Detector.h,15,24,55
